lnY,PI,R,lnU
7.507585242,0.020966325,-0.013351394,-3.285606513
7.525825942,0.015823337,-0.014173617,-3.297049014
7.531187899,0.016670497,0.011817974,-3.281967561
7.532722115,-0.009196414,0.012406116,-3.264797771
7.518737501,-0.00956017,0.004035092,-3.07182437
7.515078741,-0.001114361,0.011318261,-2.836400489
7.526234407,-0.00839753,0.004997115,-2.703880588
7.516802658,-0.002392177,0.005792329,-2.663248988
7.556426924,-0.003104278,-0.004847922,-2.748781636
7.586406397,0.007602458,-0.015327141,-2.889793333
7.624790358,0.018206326,-0.016997579,-3.068943392
7.642231525,0.020042937,-0.036491884,-3.169046537
7.654789612,0.03982798,-0.006271024,-3.348056082
7.671242556,0.009681867,0.004232086,-3.470204888
7.690973027,-0.000514007,-0.010672988,-3.441349572
7.692665446,0.01467331,0.000224249,-3.383752995
7.702677154,0.003792672,0.001262679,-3.481009642
7.703778943,0.002646338,-0.002664668,-3.509868353
7.71045662,0.006772884,0.003324057,-3.433246722
7.742955688,0.001124368,0.007598067,-3.573514786
7.761492931,-0.002875901,0.001188253,-3.616715945
7.769032119,0.003749536,0.000763747,-3.646399273
7.762933295,0.004605148,0.003142768,-3.601408656
7.746977908,0.001736973,0.001324061,-3.293348064
7.742194969,0.002352505,0.004255506,-2.9476029
7.743448783,-0.001609011,0.004577705,-2.84805438
7.754660777,-0.002604653,0.005315547,-2.816298152
7.774488052,-0.003109649,0.001177317,-2.923667449
7.802886519,0.001369437,0.004423103,-3.052723589
7.81929434,-0.001369437,0.002954276,-3.12518702
7.832567202,0.000747198,0.001647706,-3.188796106
7.838135092,0.002983222,0.005700562,-3.165022812
7.833561396,0.000124108,-0.000755963,-3.207955287
7.841395435,0.006555778,-0.00390688,-3.169358123
7.84013784,0.010303047,-0.002067951,-3.18420344
7.856346682,0.008505519,-0.00063908,-3.19101876
7.862473717,0.008193804,-0.000772394,-3.229142108
7.86005812,0.008484248,-0.001065386,-3.200306236
7.869645567,0.008884735,0.003524566,-3.165414385
7.859069466,0.004823823,-0.003543796,-3.008648499
7.831624819,0.011784746,-0.002323176,-2.766646675
7.837743767,0.006705227,0.00296508,-2.607486721
7.860905091,-0.000576269,0.003154159,-2.61441054
7.883954329,0.001037046,0.004976465,-2.754367302
7.903978928,0.001726023,0.005186359,-2.845440821
7.928921209,0.001723049,0.00232061,-2.972636224
7.927727959,0.005151405,0.002777696,-2.93758713
7.931222596,0.006033373,0.009611932,-2.881494304
7.953412542,0.000907544,0.003644985,-2.961943827
7.948728215,0.005991765,0.00689206,-2.94920313
7.950361078,0.000563412,-0.000517898,-2.889175737
7.937454693,0.006400561,0.003737355,-2.770379678
7.943377358,0.002012748,0.006192986,-2.69038794
7.961911896,-0.000335177,0.001838394,-2.66134095
7.977943744,0.003903423,0.004295847,-2.693937362
7.99809612,0.001445971,0.002248528,-2.783192517
8.015873575,0.003882638,0.003027936,-2.877648089
8.026854275,0.003757326,0.003904954,-2.901357246
8.0360584,0.002863753,0.004658127,-2.891134631
8.038485229,0.002416787,0.003831848,-2.89711939
8.051470625,0.003176866,0.005382772,-2.848780667
8.063923328,0.00185762,0.001228195,-2.865914398
8.082577401,0.006094925,0.005490623,-2.899329035
8.090150963,0.002709001,0.004600002,-2.885097225
8.112346992,0.004103677,0.007171039,-2.905894458
8.123766826,0.001615248,0.006397138,-2.950268382
8.137263658,0.002256973,0.004098091,-2.995344955
8.140032118,0.004605588,0.006072034,-3.002567389
8.164296814,0.003094161,0.003306539,-3.019201468
8.177773937,0.006371477,0.00667723,-3.06449594
8.197864127,0.00295952,0.004357073,-3.131686912
8.221703653,0.00526317,0.001062339,-3.190591607
8.245953073,0.009300448,0.00245049,-3.254307354
8.24927636,0.009008604,0.002779795,-3.264885358
8.255831544,0.008621628,0.004386972,-3.279900482
8.263900951,0.008142539,0.010409898,-3.297974691
8.272671753,0.002531006,0.005171746,-3.26428591
8.272879884,0.006048406,-0.000891691,-3.265069934
8.280826346,0.010000083,-0.000193178,-3.270908532
8.288427113,0.010885808,0.002018883,-3.236923747
8.308826177,0.009794398,0.002846572,-3.285855403
8.325662642,0.009699397,0.000282627,-3.33815265
8.332480859,0.01342302,0.000603064,-3.345832334
8.336804246,0.012304935,0.001714669,-3.38002034
8.352431278,0.012155362,-0.000557276,-3.384482079
8.355339452,0.015675747,0.001742517,-3.370532059
8.361643567,0.013630379,0.002179519,-3.323326296
8.356935703,0.015226447,0.002343053,-3.325775717
8.355365787,0.015873349,0.003963296,-3.176813874
8.35717701,0.01390118,0.006253372,-3.045196884
8.366041876,0.01030052,0.00127975,-2.960169021
8.355380836,0.014413136,0.004912289,-2.844813578
8.382583046,0.008382279,0.000414141,-2.825815311
8.388239875,0.009140072,0.000692328,-2.826953859
8.396190754,0.009876623,0.005103237,-2.814307034
8.398965807,0.007343974,0.002422266,-2.819177019
8.416689087,0.00809721,0.002124078,-2.848329435
8.440127897,0.00643089,0.001399973,-2.867432857
8.449665888,0.007980888,0.000213903,-2.880627439
8.466002629,0.010280834,-0.003528105,-2.931768005
8.491260836,0.01561312,-0.006548901,-3.000492411
8.50276196,0.020698324,-0.003161254,-3.0127825
8.497411824,0.019534806,-0.004388133,-3.032661516
8.50690505,0.02498293,-0.01074284,-3.037657045
8.498097422,0.029319226,-0.007564486,-2.973928001
8.500654579,0.026427129,-0.007572984,-2.959108326
8.490717996,0.027751358,-0.009977361,-2.880888719
8.486774602,0.030245567,-0.002915088,-2.721004889
8.474536807,0.021147856,0.002296468,-2.496008326
8.482149885,0.011976191,-0.006458526,-2.424468449
8.498853034,0.019851769,-0.002558699,-2.466134645
8.511831443,0.018259789,0.002574223,-2.490954748
8.534309469,0.011394426,0.003311959,-2.557879819
8.541801898,0.008904778,-0.003022189,-2.583603687
8.546688496,0.015831465,-0.001645777,-2.560931594
8.553924077,0.014438599,-0.006566709,-2.556645618
8.565465126,0.018182319,-0.005795845,-2.588135981
8.585143386,0.017304367,-0.001712874,-2.641194111
8.602869478,0.013740255,-0.000982336,-2.675524994
8.602662563,0.014630442,-0.001907569,-2.71278751
8.606071458,0.017067081,-0.006627663,-2.761089776
8.644656863,0.022484607,-0.00693929,-2.814253558
8.654412949,0.02300127,-0.004859831,-2.810614329
8.667552522,0.022978034,-0.003674554,-2.833751416
8.669223396,0.024873265,-0.008109591,-2.834814508
8.67016163,0.031297007,-0.008533799,-2.863131082
8.677324182,0.03170493,-0.007273494,-2.836469301
8.680071786,0.031169041,-0.009519393,-2.824337597
8.683287801,0.038697864,-0.000346089,-2.765970094
8.66257998,0.033184297,0.005163309,-2.614814092
8.660719691,0.018593907,-0.005022454,-2.567182979
8.679046529,0.027647891,0.00618386,-2.604657027
8.699613243,0.027283152,0.014708253,-2.60089646
8.691602025,0.02063476,0.009119824,-2.60465
8.703678899,0.027469224,0.020815987,-2.602178413
8.691143137,0.016126492,0.020103773,-2.496799619
8.674595835,0.008848049,0.017187533,-2.426196162
8.680000239,0.014343433,0.013359644,-2.362404459
8.676137449,0.017218056,0.019956546,-2.30895985
8.676926545,0.00306801,0.018893339,-2.237733442
8.689287124,0.000680504,0.008565764,-2.264299483
8.711514627,0.011498267,0.011070436,-2.293104029
8.731042162,0.009703941,0.012652409,-2.369464647
8.751502335,0.00994044,0.007683669,-2.461052402
8.770712299,0.014077823,0.013282507,-2.542833728
8.787830219,0.009383664,0.015538492,-2.594123108
8.797501645,0.008658063,0.016889052,-2.597725613
8.805609744,0.008583744,0.012631407,-2.620707024
8.815002114,0.009138239,0.011196385,-2.621148273
8.823433293,0.009055487,0.012280495,-2.619943282
8.838933298,0.006197727,0.007467674,-2.63077465
8.846494349,0.01014301,0.012572745,-2.652740705
8.85605728,0.00518531,0.021974262,-2.658237545
8.860066611,-0.004879546,0.009137659,-2.635024986
8.869661661,0.006095721,0.006749418,-2.661808072
8.874483506,0.006964449,0.001296823,-2.684400281
8.88001256,0.011997744,0.002480691,-2.716347954
8.890590514,0.011266055,0.003485323,-2.769151624
8.899226029,0.010557283,0.005703751,-2.812618021
8.916191837,0.009291588,0.00677876,-2.837123926
8.921351179,0.007773179,0.002801052,-2.861575797
8.934112581,0.011405884,0.003287776,-2.904565111
8.939262353,0.012117945,0.006508078,-2.90362114
8.952526698,0.01086513,0.007836026,-2.929925728
8.961871577,0.011296442,0.005090151,-2.955529264
8.969326086,0.016035131,0.013018614,-2.94999024
8.977225775,0.007788411,0.009304027,-2.943775358
8.979406303,0.010114539,0.001885092,-2.925671256
8.989798683,0.017067501,0.00936958,-2.937374966
8.993765326,0.009844639,0.0020565,-2.930388619
8.993750051,0.017125019,0.001682441,-2.866843354
8.984950174,0.016836684,0.009876169,-2.794570626
8.980094156,0.007447899,0.009027446,-2.72195612
8.986820875,0.005918636,0.006210858,-2.684713288
8.991024361,0.007593423,0.005089627,-2.680318788
8.99493679,0.008262501,0.004532549,-2.645427459
9.005853448,0.006753523,0.002023397,-2.606393483
9.016422922,0.007662873,0.001553338,-2.577598641
9.02668829,0.007604599,-0.001042552,-2.5733935
9.037157014,0.008721328,0.000396747,-2.602692283
9.038993057,0.00724895,0.000175973,-2.637916476
9.045370559,0.007196781,0.002773551,-2.6492809
9.050620815,0.004615748,-0.000774748,-2.688107904
9.063740298,0.008255034,0.002609487,-2.714985363
9.073428529,0.0050114,0.002411184,-2.724577588
9.087014214,0.005664454,0.000696526,-2.785926037
9.093434689,0.009220801,0.005325916,-2.812897308
9.104479398,0.005803588,0.005795722,-2.878610642
9.106929621,0.007317917,0.006098043,-2.904069819
9.109077007,0.008141755,0.008866804,-2.868794381
9.117446381,0.005027882,0.007890891,-2.871640192
9.124394282,0.005436569,0.004211808,-2.886996712
9.131221079,0.008852481,0.003687969,-2.89175705
9.148361239,0.008561696,0.00673392,-2.90540283
9.157021976,0.005737982,0.004010419,-2.944664894
9.167878701,0.008650755,0.006290952,-2.935005561
9.17554052,0.006073953,0.010276361,-2.951363998
9.190258066,0.002294297,0.007550198,-3.000164803
9.202731095,0.004987542,0.007162494,-3.023921977
9.210373571,0.005375246,0.010584985,-3.061094833
9.219775818,0.002059733,0.009267425,-3.070191604
9.228727881,0.003286774,0.007250851,-3.119600875
9.241836423,0.005114054,0.007304268,-3.093915162
9.258998527,0.004681942,0.006928298,-3.115929766
9.267867968,0.003648899,0.003497465,-3.149243209
9.275654405,0.00745896,0.003668078,-3.157591163
9.288289813,0.007403736,0.004208626,-3.158637399
9.30608991,0.007349323,0.002683034,-3.198308875
9.308697632,0.009846476,0.005897682,-3.206502931
9.328016913,0.007807965,0.005085157,-3.231770425
9.328856916,0.00909713,0.00782586,-3.211205985
9.334764772,0.007103803,0.005409408,-3.23921027
9.331473523,0.009520255,0.00498265,-3.16281902
9.338006321,0.006987093,0.006289636,-3.120966696
9.335242893,0.002818756,0.008644654,-3.032477212
9.338736049,-0.000750892,0.001567939,-2.893749846
9.347240571,0.003187403,-0.003532399,-2.86393326
9.352546022,0.007831478,-0.001089392,-2.839734419
9.357605227,0.005371875,-0.001794371,-2.85954915
9.357947806,0.005894289,-0.006904347,-2.83896915
9.362109676,0.010232138,0.0045249,-2.834851451
9.370545998,-0.001637406,-0.00484105,-2.788675425
9.386868345,0.007437676,-0.001465924,-2.796100582
9.395872685,0.003788225,-0.00613772,-2.844178118
9.402440958,0.008426764,-0.005536,-2.867903896
9.408854535,0.007825044,-0.003669025,-2.88434746
9.41626997,0.006357076,-0.006970531,-2.912483955
9.424421624,0.010680308,-3.36689E-05,-2.92089036
9.434683124,0.005037794,-0.000413552,-2.94058835
9.439124784,0.006735195,-0.007899905,-2.97464534
9.447034025,0.01503274,-0.000917067,-3.002624269
9.452155323,0.009281984,0.004327249,-3.005008753
9.464702008,0.005193947,0.001939864,-3.053301797
9.46875168,0.008983591,0.00229381,-3.067242549
9.468884735,0.009395932,0.016302199,-3.069869848
9.475657273,-0.004110158,0.002427601,-3.111453693
9.477012345,0.009756207,0.001119482,-3.095783868
9.485966538,0.011261885,0.005461929,-3.102188139
9.493248015,0.006310174,-0.001490921,-3.066786363
9.497469442,0.012191795,-0.002334352,-3.036686616
9.493022516,0.010773641,-0.007830148,-2.999082593
9.496305997,0.012925478,-0.011242723,-2.933326284
9.486981087,0.015301144,0.026894607,-2.811679699
9.463705108,-0.023168225,0.007384916,-2.677676203
9.45022123,-0.006643524,-0.004394253,-2.489922448
9.449435065,0.004927445,-0.008266469,-2.377977735
9.453028792,0.008699708,-0.007271968,-2.342968559
9.462891413,0.007663558,-0.001702997,-2.310889683
9.468662632,0.001844654,0.000840227,-2.320631791
9.474210656,-0.000573596,-0.00298596,-2.338255196
9.480634649,0.00335256,-0.007081612,-2.355556129
9.486547534,0.007473202,-0.010444781,-2.349500404
9.486742565,0.010786389,-0.011051069,-2.405156207
9.492858786,0.011367686,-0.007038958,-2.401424524
9.49603963,0.007155618,-0.003443093,-2.406417603
9.506068587,0.003501425,-0.005669161,-2.44504735
